date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min
2/13/2016,0.18850219,,,0.18850219,0.18850219
2/14/2016,0.18850219,,,0.18850219,0.18850219
2/15/2016,0.18850219,,,0.18850219,0.18850219
2/16/2016,0.18850219,,,0.18850219,0.18850219
2/17/2016,0.18850219,,,0.18850219,0.18850219
2/18/2016,0.17219532,,,0.17219532,0.17219532
2/19/2016,0.17219532,,,0.17219532,0.17219532
2/20/2016,0.17219532,,,0.17219532,0.17219532
2/21/2016,0.17219532,,,0.17219532,0.17219532
2/22/2016,0.17219532,,,0.17219532,0.17219532
2/23/2016,0.18850219,,,0.18850219,0.18850219
2/24/2016,0.18850219,,,0.18850219,0.18850219
2/25/2016,0.18850219,,,0.18850219,0.18850219
2/26/2016,0.17219532,,,0.17219532,0.17219532
2/27/2016,0.17219532,,,0.17219532,0.17219532
2/28/2016,0.17219532,,,0.17219532,0.17219532
2/29/2016,0.17219532,,,0.17219532,0.17219532
3/1/2016,0.17219532,,,0.17219532,0.17219532
3/2/2016,0.17219532,,,0.17219532,0.17219532
3/3/2016,0.17219532,,,0.17219532,0.17219532
3/4/2016,0.17219532,,,0.17219532,0.17219532
3/5/2016,0.17219532,,,0.17219532,0.17219532
3/6/2016,0.17219532,,,0.17219532,0.17219532
3/7/2016,0.17219532,,,0.17219532,0.17219532
3/8/2016,0.17219532,,,0.17219532,0.17219532
3/9/2016,0.17219532,,,0.17219532,0.17219532
3/10/2016,0.1561122,,,0.1561122,0.1561122
3/11/2016,0.1561122,,,0.1561122,0.1561122
3/12/2016,0.1561122,,,0.1561122,0.1561122
3/13/2016,0.1561122,,,0.1561122,0.1561122
3/14/2016,0.1561122,,,0.1561122,0.1561122
3/15/2016,0.1561122,,,0.1561122,0.1561122
3/16/2016,0.1561122,,,0.1561122,0.1561122
3/17/2016,0.1561122,,,0.1561122,0.1561122
3/18/2016,0.1561122,,,0.1561122,0.1561122
3/19/2016,0.1561122,,,0.1561122,0.1561122
3/20/2016,0.1561122,,,0.1561122,0.1561122
